word,count
-1,1.0
-60,1.0
-8,1.0
0,15.0
0.7,1.0
0.7인분,1.0
00,11.0
0003739240,1.0
00년생,1.0
00씨,6.0
00아,1.0
01029366474,2.0
023,1.0
0임,1.0
0점,2.0
1,315.0
1.2,1.0
1.2시간,1.0
1.5,3.0
1.5년,2.0
1.5병,1.0
10,85.0
"10,000",1.0
"10,000것",1.0
100,33.0
1000,2.0
1000건,1.0
100개,2.0
100개중,1.0
100만배,1.0
100만원대,2.0
100배,2.0
100번,1.0
100일,6.0
100일정도,1.0
100점,2.0
100중,1.0
100퍼센트,1.0
100프로,1.0
10개,3.0
10년,15.0
10년동안,2.0
10년사이,1.0
10년전,1.0
10년지기,1.0
10대,3.0
10등안,1.0
10만원,2.0
10만원정도,1.0
10명,2.0
10명중,1.0
10문항,1.0
10배,1.0
10번,1.0
10분,14.0
10분거리,2.0
10분단위,1.0
10분안,1.0
10살,4.0
10살정도,1.0
10살차이,1.0
10시,4.0
10시간,1.0
10시쯤,2.0
10억,1.0
10여,1.0
10인,1.0
10일,1.0
10일뒤,1.0
10일의,1.0
10일정도,1.0
10줄,1.0
10초,1.0
11,13.0
110,2.0
1104743827070,2.0
1104743827070신한,2.0
110명,1.0
110일,1.0
1111,1.0
115,1.0
11시,4.0
11시간동안,1.0
11시쯤,1.0
11월,1.0
11일차,1.0
11층,1.0
12,11.0
120,1.0
120일정도,1.0
12년지기,1.0
12살,1.0
12시,2.0
12시간,3.0
12월,1.0
13,5.0
13년,2.0
14,3.0
14000,1.0
14000원정도,1.0
145,1.0
145고,1.0
14살,1.0
15,7.0
150,1.0
1500,1.0
1500이상,1.0
15기,1.0
15만원정도,1.0
15살,1.0
16,10.0
160,1.0
16245378,1.0
1648611076,2.0
167,1.0
16가지,2.0
16개중,1.0
16살,2.0
16세이상,1.0
16위,1.0
16조,1.0
17,3.0
170,1.0
176,1.0
177,1.0
17성격유형,1.0
17세,1.0
18,1.0
180,8.0
180이상,1.0
182,7.0
183,4.0
185,3.0
18553,1.0
185의,1.0
19,3.0
190,1.0
1976,1.0
198.16,1.0
19금,1.0
1가지,1.0
1가지변수,1.0
1개,1.0
1개월,2.0
1군데,1.0
1년,34.0
1년간,2.0
1년동안,3.0
