word,count
-1,1.0
-21,1.0
-60,1.0
-9,1.0
-9번,1.0
0,14.0
0.1,1.0
0.5,1.0
0.5초,1.0
0.7,1.0
0.7인분,1.0
00,7.0
00씨,1.0
00아,1.0
01,1.0
01029366474,1.0
01년생임이번,1.0
02,1.0
02년생,1.0
08,1.0
08년도,1.0
0번,1.0
0번째,1.0
0임,2.0
0점,1.0
1,300.0
1.2,2.0
1.2시간,1.0
1.5,1.0
1.5년,1.0
10,75.0
"10,000",1.0
"10,000것",1.0
100,31.0
1000,2.0
1000000,1.0
1000000개,1.0
1000건,1.0
1000만회,1.0
100개,1.0
100개중,1.0
100개쯤,1.0
100만배,1.0
100번,1.0
100일,3.0
100일때,1.0
100일정도,1.0
100점,1.0
100퍼센트,1.0
100프로,2.0
1020,1.0
108,1.0
108키로,1.0
10가지,1.0
10개,2.0
10년,11.0
10년간,1.0
10년동안,1.0
10년친구,1.0
10대,5.0
10대때,1.0
10대시절,1.0
10명,2.0
10명중,1.0
10배,1.0
10번,1.0
10분,14.0
10분거리,2.0
10분뒤,1.0
10살,3.0
10살차이,1.0
10센티,1.0
10시,5.0
10시간,1.0
10억,1.0
10여,1.0
10월,1.0
10은,1.0
10일,3.0
10일의,1.0
10일정도,1.0
10점,1.0
10프제,1.0
10프피거리,1.0
10피스,1.0
10회,1.0
11,14.0
110,1.0
1104743827070,1.0
1104743827070신한,1.0
110일,1.0
111,1.0
1111,1.0
116728,1.0
116728생각,1.0
11만원,1.0
11시,4.0
11시반,1.0
11월,1.0
11일차,1.0
12,20.0
123,1.0
12년지기,1.0
12만원,1.0
12시,6.0
12시간,4.0
12시간후,1.0
12월,2.0
12일,1.0
13,5.0
130,1.0
130나오더,1.0
13년,2.0
14,4.0
145,1.0
145고,1.0
14억,1.0
15,11.0
150,1.0
15년,1.0
15분,3.0
15분동안,1.0
15살,1.0
16,6.0
160,3.0
160초반,1.0
1648611076,1.0
16살,1.0
16세이상,1.0
16위,1.0
16퍼스널,1.0
17,2.0
170,2.0
173,1.0
173임,1.0
178,1.0
17성격유형,1.0
18,1.0
180,6.0
18000,1.0
18000원,1.0
182,5.0
183,2.0
185,1.0
18553,1.0
188,1.0
19,8.0
1979,1.0
198.16,1.0
1992,1.0
1992년,1.0
19금,1.0
19만원,1.0
1ㄷ1,1.0
1가지,1.0
1개,1.0
1개월,2.0
1공기,1.0
1남자,1.0
1년,27.0
1년동안,3.0
1년만,2.0
1년반,1.0
1년이상,1.0
1년전,1.0
1년정도,9.0
1달,5.0
1달연애가지,1.0
1대1,3.0
1대화,1.0
1등,2.0
1등2,1.0
1레,1.0
1로,4.0
1마리,1.0
1만남임,1.0
1명,11.0
1미터,1.0
1박,4.0
1박2일,3.0
1발,1.0
1번,15.0
1번과도,1.0
1번느낌,1.0
1번째,1.0
1분이상,1.0
1살,1.0
1살선배,1.0
1살차이구,1.0
1순위,4.0
1시,1.0
1시간,21.0
1시간거리정도,1.0
1시간텀,1.0
1시쯤,1.0
1월,3.0
1위,5.0
1위국제,1.0
1위낙태,1.0
1위자살률,1.0
1위저출산,1.0
1위청소년,1.0
1위친자불일치,1.0
1이,2.0
1인정,1.0
1인프제,1.0
1일,1.0
1일차,1.0
1장,1.0
1절,1.0
1주,5.0
1주년,1.0
1주일,7.0
1주일동안,1.0
1주일정도,1.0
1줄요약,1.0
1차,2.0
1차원,1.0
1초만,1.0
1층,1.0
1프로,1.0
1하다,1.0
1학년,2.0
2,254.0
20,57.0
200,3.0
2000,1.0
2000년,1.0
2009,1.0
2009년,1.0
200개,1.0
2017,1.0
2030,2.0
20년,2.0
20대,27.0
20대기준,1.0
20대때,1.0
20대중반,1.0
20대초반,2.0
20대후반,2.0
20만원,1.0
20명이상,1.0
20번,1.0
20분,6.0
20분전,1.0
20살,4.0
20일동안,1.0
20정도,1.0
20초,1.0
20초반,1.0
20후반,1.0
21,7.0
21번째,1.0
21살,3.0
21세기,1.0
21임,1.0
22,6.0
220082642174,1.0
2222,1.0
22년도,1.0
22살,2.0
23,4.0
23살,1.0
23여,1.0
24,12.0
24번,1.0
24살,5.0
24시간,5.0
25,4.0
2500000000,1.0
2500000000만번,1.0
25번,1.0
25살,1.0
26,8.0
2600,2.0
2600원,2.0
26살,7.0
27,2.0
27남,1.0
27세,1.0
28,4.0
28살,1.0
28일,1.0
29,6.0
29각,1.0
29개정도,1.0
29년,1.0
29살,1.0
2ㅡ3시간,1.0
2개,3.0
2개월,2.0
2개월만,1.0
2개월전,1.0
2개월쯤,1.0
2건,1.0
2겁,1.0
2교대,1.0
2년,17.0
2년됬음,1.0
2년정도,3.0
2년정도고,1.0
2년차,2.0
2달,5.0
2달전,1.0
2달정,1.0
2달정도,2.0
2대,1.0
2등임,1.0
2만원,1.0
2명,8.0
2박3일,1.0
2번,17.0
2번사고,1.0
2번유형,1.0
2번정도,1.0
2번째,5.0
2분,1.0
2분안,1.0
2살,2.0
2시,4.0
2시간,14.0
2시간나도,1.0
2시전,1.0
2시쯤,3.0
2월,1.0
2위,2.0
2의,1.0
2일,4.0
2일뒤,1.0
2일만,1.0
2일연속,1.0
2일차,1.0
2자,1.0
2정거장,1.0
2주,17.0
2주간,1.0
2주동안,2.0
2주뒤,1.0
2주만,1.0
2주면,1.0
2주이상,1.0
2주전,4.0
2주정도,1.0
2차,3.0
2틀,1.0
2학기,2.0
2학기때,1.0
2학년일,1.0
3,241.0
3.5,1.0
3.5만이,1.0
3.6,1.0
30,40.0
300,1.0
3040,1.0
30년,1.0
30대,8.0
30대임남친이랑,1.0
30만원정도,1.0
30분,9.0
30분내외,1.0
30분동안,1.0
30분뒤,1.0
30분만,1.0
30분정도,1.0
30살,1.0
30전후,1.0
30중반,3.0
30초,1.0
30초제,1.0
31,2.0
31남,1.0
33,1.0
34,1.0
3480,1.0
35,3.0
35세,1.0
35조3480억,1.0
35조원,1.0
37,1.0
38,1.0
38위,1.0
3가지,2.0
3개,3.0
3개월,12.0
3개월동안,1.0
3개월뒤,2.0
3개월전,1.0
3개월정도,1.0
3개월쯤,1.0
3권,1.0
3년,9.0
3년5개월,1.0
3년간,1.0
3년동안,1.0
3년이상,1.0
3년전,1.0
3년정도,1.0
3달,9.0
3대,1.0
3등,1.0
3만보,1.0
3명,3.0
3명중,1.0
3발,1.0
3번,14.0
3번만,1.0
3번이상,1.0
3번정도,4.0
3번째,2.0
3번째만남,1.0
3분,1.0
3분뒤,1.0
3분미만,1.0
3분컷,1.0
3분후,1.0
3살,3.0
3살연상,1.0
3시,2.0
3시간,10.0
3월,2.0
3월쯤,1.0
3위,1.0
3인1조,1.0
3인방임,1.0
3일,13.0
3일동안,2.0
3일뒤,2.0
3일전,1.0
3일정도,2.0
3일차,1.0
3자,4.0
3장,1.0
3주,11.0
3주동안,1.0
3주일,1.0
3주전,1.0
3주정도,3.0
3줄,2.0
3줄요약1,1.0
3줄요약있음,1.0
3차,1.0
3통,1.0
3학년,4.0
3회,1.0
3회차,1.0
4,131.0
40,10.0
400,2.0
40대,3.0
40대-60대,1.0
40분,4.0
40일쯤,1.0
4334,1.0
4334거,1.0
45,1.0
45도,1.0
47,1.0
48,1.0
48시간,1.0
4개,2.0
4개국,1.0
4개월,5.0
4개월만,1.0
4년,5.0
4달,1.0
4때,1.0
4명,5.0
4번,11.0
4번째,1.0
4살,4.0
4살차이,2.0
4시,1.0
4시간,7.0
4시간동안,1.0
4시간정도,1.0
4알,1.0
4월,3.0
4월초,1.0
4일,6.0
4일만,1.0
4일차,1.0
4정도,1.0
4주전,1.0
4주차,1.0
4테이블,1.0
4회,1.0
5,118.0
50,4.0
500,1.0
500일동안,1.0
50대,1.0
50일,1.0
51,1.0
53,1.0
54,1.0
57,2.0
586,1.0
586ㅋ,1.0
5가지,2.0
5가지사랑,1.0
5개,2.0
5개월,4.0
5년,7.0
5년뒤,1.0
5년차,1.0
5때,1.0
5만원,1.0
5명,2.0
5명중,1.0
5배,1.0
5번,5.0
5번이상,1.0
5번중,1.0
5분,4.0
5분만,1.0
5분이내,1.0
5살,2.0
5시,6.0
5시간,3.0
5월,3.0
5월쯤,1.0
5이상,1.0
5일,11.0
5일동안,1.0
5일만,1.0
5일정도,1.0
5일차,1.0
5차례,2.0
5천,1.0
5천만명,1.0
5초만,1.0
5촌조카,1.0
6,72.0
60,4.0
60일,1.0
67,1.0
6개,3.0
6개월,6.0
6개월뒤,1.0
6개월전,1.0
6개월정도,1.0
6년만,1.0
6년정도,1.0
6명,1.0
6번,1.0
6살,2.0
6살이,1.0
6살차이,1.0
6시,3.0
6시간,3.0
6위,1.0
6인,1.0
6일동안,1.0
6주동안,1.0
6주정도,1.0
6줄,1.0
6키로,1.0
7,44.0
70,3.0
70세,1.0
70일,1.0
72,1.0
75,1.0
77,3.0
77키로,3.0
78,2.0
78키로,1.0
7개월,3.0
7년만,1.0
7만원,1.0
7명중,1.0
7번,3.0
7번일꺼,1.0
7번정도,1.0
7살,1.0
7시,1.0
7시간,2.0
7월말,1.0
7일,1.0
7퍼센트,1.0
8,55.0
8.16,1.0
80,6.0
800,1.0
800원,1.0
80대,1.0
80프로,1.0
82,1.0
83,1.0
8개,1.0
8개월,4.0
8개월차,1.0
8기능,4.0
8년,2.0
8년반,1.0
8년정도,1.0
8등급,1.0
8명,2.0
8번,1.0
