word,count
-1,1.0
-21,1.0
-9,1.0
-9번,1.0
0,15.0
0.1,1.0
0.5,1.0
0.5초,1.0
00,5.0
00씨,1.0
01,1.0
01년생임이번,1.0
02,1.0
02년생,1.0
03,1.0
08,1.0
08년도,1.0
0개,1.0
0개애인,1.0
0만큼,1.0
0번,1.0
0번째,1.0
0임,1.0
1,235.0
1.2,1.0
1.5,1.0
1.5년,1.0
10,66.0
100,21.0
1000,3.0
1000000,1.0
1000000개,1.0
1000만회,1.0
1000칼로리정도,1.0
100개쯤,1.0
100도,1.0
100만큼,1.0
100번,1.0
100일,1.0
100일때,1.0
100일정도,1.0
100일후,1.0
100퍼센트,1.0
100프로,2.0
1020,1.0
108,1.0
108키로,1.0
10가지,1.0
10년,7.0
10년간,1.0
10년동안,1.0
10년전,1.0
10년지기,1.0
10년친구,1.0
10대,2.0
10대때,1.0
10대시절,1.0
10명,5.0
10명중,1.0
10배,1.0
10번,4.0
10분,8.0
10분뒤,1.0
10살,3.0
10선비라,1.0
10센티,1.0
10시,3.0
10월,1.0
10은,1.0
10일,4.0
10점,1.0
10초전,1.0
10키로,2.0
10프제,1.0
10프피거리,1.0
10피스,1.0
10회,1.0
11,12.0
111,4.0
1111,2.0
111여,1.0
1152,1.0
1152억,1.0
116728,1.0
116728생각,1.0
118.235,2.0
11만원,1.0
11시,2.0
11시반,1.0
11월,1.0
11일자,1.0
12,24.0
123,1.0
12만원,1.0
12분남짓,1.0
12시,7.0
12시간,3.0
12시간후,1.0
12월,1.0
12일,1.0
12키로,1.0
12프맥,1.0
13,4.0
130,1.0
130나오더,1.0
13프맥,1.0
14,3.0
14억,1.0
15,11.0
150,1.0
1500,1.0
1500만원,1.0
1505,1.0
150만원,1.0
1557,1.0
1580,1.0
1580억,1.0
15개,1.0
15개월차,1.0
15년,1.0
15분,3.0
15분동안,1.0
15억,1.0
16,7.0
160,3.0
160초반,1.0
16가지,1.0
16개,1.0
16시간,1.0
16퍼스널,2.0
17,1.0
170,2.0
173,2.0
173별,1.0
173임,1.0
176,1.0
178,1.0
18,3.0
180,2.0
18000,1.0
18000원,1.0
182,1.0
188,1.0
18도로,1.0
18시,1.0
19,7.0
1979,1.0
1992,1.0
1992년,1.0
19년,1.0
19만원,1.0
1ㄷ1,1.0
1개,1.0
1개월,1.0
1공기,1.0
1글,1.0
1남자,1.0
1녀,1.0
1년,19.0
1년동안,1.0
1년만,2.0
1년이상,1.0
1년정도,6.0
1대1,2.0
1대화,1.0
1등,1.0
1로,5.0
1만남임,1.0
1명,5.0
1명2,1.0
1명바운,1.0
1미터,1.0
1박,3.0
1박2일,2.0
1번,12.0
1보,1.0
1분,1.0
1분만,1.0
1분이상,1.0
1살선배,1.0
1살차이구,1.0
1순위,4.0
1시,2.0
1시간,13.0
1시간쯤,1.0
1시간텀,1.0
1시쯤,1.0
1월,1.0
1위,4.0
1위국제,1.0
1위낙태,1.0
1위인라,1.0
1위자살률,1.0
1위저출산,1.0
1위청소년,1.0
1위친자불일치,1.0
1은,1.0
1의,1.0
1이,1.0
1인정,1.0
1인프제,1.0
1일,1.0
1자,1.0
1장,1.0
1절,1.0
1주,4.0
1주년,1.0
1주일,2.0
1주일동안,1.0
1차,4.0
1차원,1.0
1차임,1.0
1차적인,1.0
1프로,1.0
1하다,1.0
1학기,1.0
1학년,2.0
1회,1.0
2,170.0
20,47.0
200,4.0
2000,2.0
2000년,1.0
2009,1.0
2009년,1.0
200개,1.0
200문항,1.0
200원,1.0
2023070801240241406,1.0
2030,1.0
20년,3.0
20년지기,1.0
20대,17.0
20대기준,1.0
20대때,1.0
20대중반,1.0
20대초반,1.0
20대후반,2.0
20만원,1.0
20명이상,1.0
20분,3.0
20분전,1.0
20살,4.0
20일동안,1.0
20정도,1.0
20초,1.0
20키로,1.0
20회차,1.0
21,3.0
21살,2.0
21세기,1.0
22,4.0
220082642174,1.0
22살,2.0
23,5.0
230128,1.0
23살,3.0
24,12.0
24살,4.0
24시간,6.0
24시간동안,1.0
25,6.0
2500000000,1.0
2500000000만번,1.0
253728368,1.0
253728368호,1.0
25도,1.0
25번,1.0
25살,1.0
26,5.0
2600,2.0
2600원,2.0
26살,4.0
27,2.0
27남,1.0
27세,1.0
28,1.0
29,4.0
29각,1.0
29살,1.0
2ㅡ3시간,1.0
2개,1.0
2개월,1.0
2개월만,1.0
2개월전,1.0
2개월쯤,1.0
2건,1.0
2겁,1.0
2교대,1.0
2년,10.0
2년만,1.0
2년정도,1.0
2년정도고,1.0
2년차,2.0
2달,5.0
2달정도,1.0
2등임,1.0
2만원,1.0
2명,2.0
2백,1.0
2번,12.0
2번째,2.0
2분,2.0
2살,1.0
2시,3.0
2시간,7.0
2시전,1.0
2시쯤,2.0
2위,1.0
2일,3.0
2일연속,1.0
2일차,1.0
2장,1.0
2정거장,1.0
2주,9.0
2주간,1.0
2주동안,1.0
2주뒤,1.0
2주만,1.0
2주면,1.0
2주이상,1.0
2주전,2.0
2차,3.0
2틀,1.0
2학기,1.0
2학년일,1.0
3,166.0
3.5,1.0
3.5만이,1.0
3.6,1.0
30,38.0
300,2.0
3000,1.0
3000원,1.0
300원,1.0
300일,1.0
3040,1.0
30년,1.0
30대,5.0
30만원정도,1.0
30분,12.0
30분뒤,1.0
30분정도,1.0
30살,4.0
30전후,1.0
30중반,2.0
30초,2.0
30초제,1.0
320,1.0
320양배추샐러드,1.0
33,1.0
3480,1.0
35,3.0
350,1.0
350단백질셰이크160,1.0
35세,1.0
35조3480억,1.0
35조원,1.0
37,1.0
38,1.0
38위,1.0
3가지,1.0
3개,1.0
3개월,7.0
3개월뒤,1.0
3개월전,1.0
3개월쯤,1.0
3년,4.0
3년간,1.0
3년동안,1.0
3단,2.0
3달,7.0
3대,1.0
3명,1.0
3명이상,1.0
3발,1.0
3번,13.0
3번안,1.0
3번이상,1.0
3번정도,1.0
3번째,1.0
3번째만남,1.0
3분,1.0
3분컷,1.0
3세트,1.0
3시,1.0
3시간,8.0
3월,1.0
3월쯤,1.0
3일,8.0
3일동안,2.0
3일뒤,1.0
3일정도,2.0
3일차,1.0
3일차임,1.0
3자,3.0
3장,1.0
3조각,1.0
3주,5.0
3주동안,1.0
3주만,1.0
3주정도,1.0
3줄,1.0
3줄요약있음,1.0
3차,1.0
3캔,1.0
3학년,4.0
3할,1.0
3회,1.0
4,90.0
40,10.0
400,3.0
400칼로리,1.0
40개,1.0
40넘,1.0
40대,3.0
40분,3.0
40살,1.0
41,1.0
42,1.0
45,2.0
45도,1.0
47,1.0
48,1.0
48시간,1.0
4개,1.0
4개국,1.0
4개기프티,1.0
4개월,2.0
4년,3.0
4달만,1.0
4때,1.0
4명,3.0
4박,1.0
4번,12.0
4살,1.0
4시,1.0
4시간,3.0
4시간동안,1.0
4시간정도,1.0
4알,1.0
4월,1.0
4유형중,1.0
4일,3.0
4일만,1.0
4일차,1.0
4테이블,1.0
4학년,1.0
5,89.0
50,10.0
500,2.0
500만원,1.0
500일동안,1.0
5020848,1.0
50대,2.0
50분,1.0
50분쯤,1.0
50살,1.0
50일,1.0
50일때,1.0
50일정도,1.0
51,1.0
53,1.0
54,1.0
55,1.0
55일,1.0
57,1.0
573,1.0
5800,1.0
5800여억원,1.0
5가지,2.0
5가지사랑,1.0
5개,1.0
5개월,4.0
5급,1.0
5년,8.0
5년전,2.0
5년차,1.0
5때,1.0
5명중,1.0
5번,5.0
5번이상,1.0
5번정도,1.0
5번중,1.0
5분,4.0
5분만,1.0
5시,4.0
5시간,1.0
5일,8.0
5일만,1.0
5일차,1.0
5차례,1.0
5천만명,1.0
5천만원,1.0
5천원따리,1.0
5초만,1.0
5키로,2.0
6,54.0
60,5.0
60세,1.0
60세임,1.0
60임,1.0
65,1.0
67,1.0
6개,2.0
6개월,4.0
6년만,1.0
6년정도,1.0
6등변화,1.0
6명,1.0
6번,2.0
6살,4.0
6살이,1.0
6시,3.0
6시간,1.0
6위,1.0
6인,1.0
6일동안,1.0
6차,1.0
7,28.0
70,6.0
70세,2.0
72,1.0
73,2.0
75,2.0
77777777,1.0
77777777ㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓ억,1.0
78,2.0
7개월,1.0
7년,1.0
7년만,1.0
7만원,1.0
7명중,1.0
7번,2.0
7시간,1.0
7퍼센트,1.0
7할,1.0
8,48.0
8.16,1.0
80,8.0
800,2.0
800만원,1.0
800원,1.0
80대,1.0
80살ㅇㅣ,1.0
80프로,2.0
82,1.0
860,1.0
8636,1.0
8개월,2.0
8기능,5.0
8년,3.0
8년반,1.0
8등급,1.0
8명,2.0
8번,1.0
8시,3.0
8시간,1.0
8시쯤,1.0
8월,2.0
8일정도,1.0
8키로,1.0
9,33.0
90,9.0
900,4.0
900년,1.0
90년,1.0
91,1.0
97,1.0
97년생,1.0
9가,1.0
9년,1.0
9등급,1.0
9번,4.0
9번째,1.0
9살,1.0
9시,3.0
9시간,1.0
9월,2.0
9일,1.0
9할,2.0
ps,1.0
ㄱ,56.0
ㄱㄱ,3.0
ㄱㄷ,1.0
ㄱㅂ,1.0
ㄱㅅ,3.0
ㄱㅅ과,1.0
ㄱㅇ,1.0
ㄱㅊ,10.0
ㄱㅊ은,2.0
ㄱㅊ은데,1.0
ㄱㅊ을,1.0
