word,count
-1,1.0
-21,1.0
-60,1.0
-8,1.0
0,17.0
00,11.0
00년생,1.0
00씨,5.0
01029366474,1.0
03,1.0
08,1.0
08년도,1.0
0개애인,1.0
0점,1.0
1,318.0
1.5,2.0
1.5년,2.0
10,92.0
"10,000",1.0
"10,000것",1.0
100,28.0
1000,2.0
1000000,1.0
1000000개,1.0
100개,2.0
100개쯤,1.0
100만원대,2.0
100배,2.0
100번,2.0
100일,3.0
100일정도,2.0
100일후,1.0
100점,1.0
100중,1.0
100퍼센트,2.0
100프로,1.0
1020,1.0
10가지,1.0
10개,2.0
10년,18.0
10년간,1.0
10년동안,1.0
10년사이,1.0
10년전,2.0
10년지기,2.0
10년친구,1.0
10대,2.0
10대시절,1.0
10등안,1.0
10만원,2.0
10만원정도,1.0
10명,5.0
10배,2.0
10번,4.0
10분,11.0
10분거리,2.0
10분단위,1.0
10살,4.0
10살정도,1.0
10선비라,1.0
10센티,1.0
10시,5.0
10시쯤,1.0
10억,1.0
10여,1.0
10일,1.0
10줄,1.0
10초,1.0
10초전,1.0
10프제,1.0
10프피거리,1.0
10피스,1.0
11,12.0
110,1.0
1104743827070,1.0
1104743827070신한,1.0
110일,1.0
111,2.0
1111,1.0
111여,1.0
115,1.0
116728,1.0
116728생각,1.0
11시,3.0
11시간동안,1.0
11시쯤,1.0
11월,1.0
12,18.0
12년지기,1.0
12살,1.0
12시,4.0
12시간,2.0
12시간후,1.0
12월,2.0
12프맥,1.0
13,6.0
13프맥,1.0
14,3.0
14000,1.0
14000원정도,1.0
145,1.0
145고,1.0
15,9.0
150,1.0
1500,2.0
1500만원,1.0
1500이상,1.0
15개,1.0
15개월차,1.0
15기,1.0
15만원정도,1.0
15살,1.0
16,12.0
160,2.0
16245378,1.0
1648611076,1.0
167,1.0
16가지,3.0
16개,1.0
16살,1.0
16위,1.0
16퍼스널,2.0
17,4.0
170,2.0
173,1.0
173임,1.0
176,1.0
177,1.0
178,1.0
17성격유형,1.0
17세,1.0
18,3.0
180,6.0
18000,1.0
18000원,1.0
180이상,1.0
182,5.0
183,2.0
185,2.0
18553,1.0
185의,1.0
188,1.0
18도로,1.0
18시,1.0
19,3.0
190,1.0
1976,1.0
1979,1.0
1992,1.0
1992년,1.0
19금,1.0
1ㄷ1,1.0
1가지,1.0
1가지변수,1.0
1개,2.0
1개월,2.0
1공기,1.0
1년,33.0
1년간,2.0
1년동안,2.0
1년반,1.0
1년전,1.0
1년정도,5.0
1달,3.0
1달안,1.0
1달정,1.0
1대1,5.0
1등,3.0
1등2,1.0
1레,1.0
1로,7.0
1마리,1.0
1만보,1.0
1면담,1.0
1명,10.0
1명2,1.0
1명바운,1.0
1명의,1.0
1박,3.0
1발,1.0
1번,14.0
1번꼴,1.0
1번느낌,1.0
1번째,1.0
1부,1.0
1분내,1.0
1분뒤,1.0
1분만,1.0
1분안,1.0
1분후,1.0
1빠따,1.0
1살,1.0
1순위,4.0
1시,3.0
1시간,13.0
1시간거리정도,1.0
1시간쯤,1.0
1시간텀,1.0
1실,1.0
1억,1.0
1월,3.0
1위,3.0
1위국제,1.0
1위낙태,1.0
1위인라,1.0
1위자살률,1.0
1위저출산,1.0
1위청소년,1.0
1위친자불일치,1.0
1은,1.0
1이,1.0
1인,1.0
1인프제,1.0
1일,1.0
1일차,1.0
1자,1.0
1잔소리2,1.0
1장,1.0
1절,2.0
1주,3.0
1주일,7.0
1주일동안,1.0
1주일정도,1.0
1차,6.0
1차원,2.0
1차임,1.0
1차적인,1.0
1초만,1.0
1초안,1.0
1층,1.0
1패턴,1.0
1학기,2.0
1학년,2.0
1회,2.0
2,247.0
20,60.0
200,4.0
2000,2.0
2000년,1.0
200번,1.0
200원,1.0
2017,1.0
2023070801240241406,1.0
2030,2.0
203040,3.0
203040남자,2.0
20개,1.0
20년,3.0
20년지기,1.0
20대,27.0
20대때,1.0
20대중반,2.0
20대초반,1.0
20대후반,3.0
20만원,1.0
20번,1.0
20분,5.0
20분뒤,1.0
20살,5.0
20살에,1.0
20여년간,1.0
20초때,1.0
20회차,1.0
21,6.0
21번째,1.0
21살,2.0
21세기,1.0
21임,1.0
22,5.0
221473937235,1.0
2222,1.0
22살,2.0
23,6.0
230128,1.0
23살,3.0
23여,1.0
24,12.0
24살,3.0
24시간,5.0
25,6.0
253728368,1.0
253728368호,1.0
25도,1.0
25살,3.0
26,10.0
2600,2.0
2600원,2.0
26살,7.0
27,9.0
27살,6.0
27세,1.0
28,6.0
28살,2.0
28세,1.0
28일,1.0
29,3.0
29각,1.0
29개정도,1.0
2개,2.0
2개월,1.0
2개월전,1.0
2건,1.0
2년,21.0
2년전쯤,1.0
2년정도,2.0
2년차,1.0
2달,6.0
2달전,1.0
2달정,1.0
2대,1.0
2만원,1.0
2명,7.0
2명정도,1.0
2박3일,1.0
2배속,1.0
2번,15.0
2번사고,1.0
2번유형,1.0
2번줄,1.0
2번째,3.0
2분,1.0
2살,2.0
2시,3.0
2시간,15.0
2시전,1.0
2시쯤,1.0
2월,1.0
2위,1.0
2의,1.0
2인,1.0
2인석,1.0
2일,2.0
2일만,1.0
2정거장,1.0
2주,16.0
2주동안,3.0
2주만,1.0
2주전,3.0
2차,6.0
2차인,1.0
2학기,2.0
2학년일,1.0
2회,1.0
3,252.0
3.5,1.0
3.5만이,1.0
30,46.0
300,4.0
3000,1.0
3000원,1.0
300원,1.0
300일,1.0
3040,1.0
30대,12.0
30대초반,1.0
30만원,1.0
30명,3.0
30명중,1.0
30분,10.0
30분내외,1.0
30분동안,1.0
30분뒤,1.0
30분임저녁시간대,1.0
30살,4.0
30살이,1.0
30전후,1.0
30중반,1.0
30초,1.0
30평대,1.0
31,3.0
31남,1.0
31살,1.0
32,2.0
32살,1.0
32야남자친구,1.0
33,1.0
34,1.0
34살,1.0
35,1.0
35세,1.0
37,1.0
38,1.0
38위,1.0
3가지,2.0
3개,4.0
3개월,10.0
3개월동안,3.0
3개월뒤,2.0
3개월전,1.0
3개월정도,2.0
3개월쯤,1.0
3교대,1.0
3권,1.0
3년,11.0
3년간,2.0
3년동안,2.0
3년만,2.0
3년이상,1.0
3년전,1.0
3년정도,2.0
3년차,1.0
3단,2.0
3달,7.0
3대,1.0
3등,1.0
3등정도,1.0
3만보,1.0
3명,2.0
3명이상,1.0
3발,1.0
3번,10.0
3번만,1.0
3번안,1.0
3번정도,2.0
3번째,1.0
3번째만남,1.0
3분,1.0
3분미만,1.0
3살,3.0
3시,3.0
3시간,9.0
3엔티제,1.0
3월,2.0
3월쯤,1.0
3위,1.0
3인방임,1.0
3일,11.0
3일동안,3.0
3일만,1.0
3일차임,1.0
3자,3.0
3장,1.0
3주,11.0
3주동안,1.0
3주만,2.0
3주일,1.0
3주전,1.0
3줄,3.0
3줄요약있음,1.0
3차,3.0
3차기능,1.0
3차기능인,1.0
3천,3.0
3천부,1.0
3통,1.0
3학년,1.0
3할,1.0
3회,2.0
4,122.0
40,12.0
4050,1.0
40개,1.0
40년,1.0
40대,5.0
40대-60대,1.0
40대쯤,1.0
40대초반,1.0
40분,1.0
40일쯤,1.0
41,1.0
42,1.0
4334,1.0
4334거,1.0
45,2.0
45도,1.0
49,1.0
49로,1.0
4가지,1.0
4개,4.0
4개국,1.0
4개기프티,1.0
4개월,6.0
4개월동안,1.0
4개월만,1.0
4년,4.0
4년만난,1.0
4달,1.0
4달전,1.0
4명,6.0
4번,7.0
4살,2.0
4살차이,1.0
4시,1.0
4시간,5.0
4시간동안,1.0
4월,3.0
4월초,1.0
4유형중,1.0
4일,4.0
4일연속,1.0
4일제,1.0
4절,1.0
4주차,1.0
4차,2.0
4학년,1.0
4회,1.0
5,122.0
50,12.0
50.1,1.0
50대,3.0
50대초라,1.0
50만원,1.0
50분,1.0
50분쯤,1.0
50분텀,1.0
50일정도,1.0
50프로,1.0
51,1.0
53,1.0
573,1.0
586,1.0
586ㅋ,1.0
5가지,1.0
5가지사랑,1.0
5개,1.0
5개월,2.0
5년,5.0
5년뒤,1.0
5년전,2.0
5년지기,1.0
5년차,1.0
5만원,2.0
5명,1.0
5배,1.0
5번,9.0
5번이상,1.0
5번정도,1.0
5번째,1.0
5분,4.0
5분거리,1.0
5분만,1.0
5살,1.0
5살차이,2.0
5세트,1.0
5시,7.0
5시간,4.0
5월,4.0
5의,1.0
5이상,1.0
5일,7.0
5일동안,2.0
5일만,2.0
5일정도,1.0
5차,1.0
5차례,2.0
5천만원,1.0
5천보,1.0
5천원따리,1.0
5초만,1.0
5촌조카,1.0
6,83.0
60,9.0
6000,1.0
6000만원,1.0
60대,3.0
60세,1.0
60세임,1.0
60일,1.0
65,2.0
65정도,1.0
6개,2.0
6개월,9.0
6개월뒤,1.0
6개월전,1.0
6개월정도,1.0
6년,3.0
6년만,1.0
6년정도,1.0
6년차,1.0
6등변화,1.0
6등정도,1.0
6명,2.0
6박7일,1.0
6번,2.0
6살,2.0
6살이,1.0
6시,6.0
6시간,3.0
6월,1.0
6위,1.0
6일동안,1.0
6주동안,1.0
6주정도,1.0
6줄,2.0
6차,3.0
6차기능,1.0
6키로,1.0
6회정도,1.0
7,61.0
70,5.0
700,1.0
700일,1.0
70세,1.0
70일,1.0
73,1.0
77,4.0
7716,1.0
77키로,4.0
78,2.0
78키로,1.0
7개,1.0
7개월,2.0
