word,count
-1,1.0
-21,1.0
-9,1.0
-9번,1.0
0,13.0
0.5,1.0
0.5초,1.0
0.7,1.0
0.7인분,1.0
00,8.0
00년생,1.0
00씨,1.0
00아,1.0
01029366474,2.0
08,1.0
08년도,1.0
0번,1.0
0임,2.0
0점,2.0
1,240.0
1.2,2.0
1.2시간,1.0
10,63.0
100,33.0
1000,2.0
1000000,1.0
1000000개,1.0
1000건,1.0
100개중,1.0
100개쯤,1.0
100만배,1.0
100만원대,2.0
100배,2.0
100번,2.0
100일,4.0
100일때,1.0
100일정도,1.0
100점,2.0
100퍼센트,1.0
100프로,1.0
1020,1.0
108,1.0
108키로,1.0
10가지,1.0
10개,1.0
10년,11.0
10년간,1.0
10년동안,1.0
10년사이,1.0
10년친구,1.0
10대,5.0
10대시절,1.0
10등안,1.0
10만원,1.0
10명,1.0
10배,2.0
10번,1.0
10분,10.0
10분단위,1.0
10살,4.0
10살정도,1.0
10살차이,1.0
10센티,1.0
10시,4.0
10시간,1.0
10억,1.0
10월,1.0
10은,1.0
10일,1.0
10일의,1.0
10일정도,1.0
10프제,1.0
10프피거리,1.0
10피스,1.0
11,9.0
1104743827070,2.0
1104743827070신한,2.0
111,1.0
1111,1.0
115,1.0
116728,1.0
116728생각,1.0
11만원,1.0
11시,2.0
11시쯤,1.0
11일차,1.0
12,14.0
123,1.0
12만원,1.0
12시,3.0
12시간,4.0
12시간후,1.0
12월,2.0
12일,1.0
13,4.0
13년,2.0
14,2.0
15,7.0
1500,1.0
1500이상,1.0
15기,1.0
15만원정도,1.0
15살,1.0
16,6.0
160,1.0
167,1.0
16가지,1.0
16살,2.0
16세이상,1.0
16퍼스널,1.0
170,2.0
173,1.0
173임,1.0
176,1.0
177,1.0
178,1.0
180,5.0
18000,1.0
18000원,1.0
182,3.0
183,1.0
185,3.0
18553,1.0
185의,1.0
188,1.0
19,4.0
190,1.0
1976,1.0
1979,1.0
198.16,1.0
1992,1.0
1992년,1.0
19만원,1.0
1ㄷ1,1.0
1가지,1.0
1가지변수,1.0
1개,2.0
1개월,2.0
1공기,1.0
1남자,1.0
1년,26.0
1년동안,2.0
1년정도,7.0
1달,5.0
1달연애가지,1.0
1달정,1.0
1대1,3.0
1등,2.0
1등2,1.0
1로,4.0
1마리,1.0
1만남임,1.0
1명,7.0
1미터,1.0
1박2일,2.0
1번,11.0
1번과도,1.0
1부,1.0
1분내,1.0
1살차이구,1.0
1순위,3.0
1시,1.0
1시간,12.0
1시간텀,1.0
1억,1.0
1월,2.0
1위,4.0
1위국제,1.0
1위낙태,1.0
1위자살률,1.0
1위저출산,1.0
1위청소년,1.0
1위친자불일치,1.0
1이,2.0
1인,1.0
1인정,1.0
1인프제,1.0
1일,1.0
1일차,1.0
1장,1.0
1주,3.0
1주일,3.0
1주일동안,1.0
1줄요약,1.0
1차,2.0
1차원,1.0
1초안,1.0
1하다,1.0
1학기,1.0
1학년,2.0
2,192.0
20,50.0
200,3.0
2000,1.0
2000년,1.0
200번,1.0
2030,2.0
203040,2.0
203040남자,1.0
20년,2.0
20대,22.0
20대기준,1.0
20대때,1.0
20대중반,2.0
20대초반,2.0
20대후반,1.0
20만원,1.0
20명이상,1.0
20분,6.0
20분전,1.0
20살,3.0
20살에,1.0
20여년간,1.0
20초,1.0
20초반,1.0
20후반,1.0
21,4.0
21살,2.0
21세기,1.0
21임,1.0
22,6.0
220082642174,1.0
221473937235,1.0
2222,1.0
22년도,1.0
22살,2.0
23,3.0
23살,2.0
24,8.0
24번,1.0
24살,3.0
24시간,4.0
25,6.0
2500000000,1.0
2500000000만번,1.0
25번,1.0
25살,3.0
26,9.0
2600,2.0
2600원,2.0
26살,7.0
27,6.0
27살,5.0
27세,1.0
28,6.0
28살,2.0
28세,1.0
29,4.0
29각,1.0
29년,1.0
29살,1.0
2개,2.0
2개월만,1.0
2개월전,1.0
2건,1.0
2겁,1.0
2교대,1.0
2년,18.0
2년됬음,1.0
2년전쯤,1.0
2년정도,2.0
2년차,1.0
2달,2.0
2달전,1.0
2달정도,1.0
2대,1.0
2등임,1.0
2만원,1.0
2명,7.0
2배속,1.0
2번,12.0
2번유형,1.0
2번정도,1.0
2번줄,1.0
2번째,4.0
2분,1.0
2분안,1.0
2시,2.0
2시간,8.0
2시간나도,1.0
2시전,1.0
2시쯤,2.0
2월,2.0
2의,1.0
2일,2.0
2일뒤,1.0
2일만,1.0
2일연속,1.0
2자,1.0
2정거장,1.0
2주,9.0
2주간,1.0
2주동안,1.0
2주만,1.0
2주면,1.0
2주이상,1.0
2주전,2.0
2주정도,1.0
2차,3.0
2차인,1.0
2학기,3.0
2학기때,1.0
2학년일,1.0
3,193.0
3.5,1.0
3.5만이,1.0
30,28.0
300,2.0
3040,1.0
30대,7.0
30대임남친이랑,1.0
30명,1.0
30분,3.0
30분뒤,1.0
30분만,1.0
30살,2.0
30살이,1.0
30전후,1.0
30중반,1.0
30초제,1.0
31,1.0
31살,1.0
32,1.0
32살,1.0
33,1.0
34,1.0
3480,1.0
35,3.0
35세,1.0
35조3480억,1.0
35조원,1.0
37,1.0
38,1.0
38위,1.0
3가지,2.0
3개,5.0
3개월,9.0
3개월뒤,1.0
3개월전,1.0
3개월정도,1.0
3개월쯤,1.0
3교대,1.0
3년,6.0
3년5개월,1.0
3년동안,1.0
3년만,1.0
3년차,1.0
3달,6.0
3대,2.0
3등정도,1.0
3명,3.0
3명중,1.0
3발,1.0
3번,10.0
3번정도,2.0
3번째,1.0
3번째만남,1.0
3분뒤,1.0
3분후,1.0
3살,1.0
3살연상,1.0
3시,1.0
3시간,7.0
3엔티제,1.0
3월,1.0
3월쯤,1.0
3위,1.0
3인1조,1.0
3일,9.0
3일동안,1.0
3일뒤,1.0
3일전,1.0
3자,2.0
3장,1.0
3주,11.0
3주만,1.0
3주일,1.0
3주전,1.0
3주정도,2.0
3줄,2.0
3줄요약1,1.0
3줄요약있음,1.0
3차,3.0
3차기능인,1.0
3천,3.0
3천부,1.0
3학년,3.0
3회,1.0
3회차,1.0
4,99.0
40,10.0
400,2.0
4050,1.0
40년,1.0
40대,3.0
40분,4.0
40일쯤,1.0
45,1.0
45도,1.0
4가지,1.0
4개,4.0
4개국,1.0
4개월,5.0
4년,3.0
4명,2.0
4번,8.0
4번째,1.0
4살,3.0
4살차이,1.0
4시,1.0
4시간,4.0
4시간동안,1.0
4알,1.0
4월,1.0
4일,4.0
4일만,1.0
4일제,1.0
4정도,1.0
4주전,1.0
4차,2.0
4테이블,1.0
5,87.0
50,4.0
50.1,1.0
50대,1.0
50대초라,1.0
51,1.0
54,1.0
57,1.0
5가지,2.0
5가지사랑,1.0
5개,2.0
5개월,2.0
5년,5.0
5년지기,1.0
5만원,1.0
5명,2.0
5명중,1.0
5배,1.0
5번이상,1.0
5번중,1.0
5분,2.0
5분만,1.0
5분이내,1.0
5살,3.0
5살차이,1.0
5시,3.0
5시간,2.0
5월,2.0
5월쯤,1.0
5의,1.0
5일,9.0
5일만,1.0
5차,1.0
5차례,2.0
5천,1.0
5초만,1.0
6,53.0
60,3.0
60일,1.0
6개,2.0
6개월,7.0
6년,1.0
6년만,1.0
6년정도,1.0
6년차,1.0
6등정도,1.0
6박7일,1.0
6살이,1.0
6살차이,1.0
6시,2.0
6시간,1.0
6위,1.0
6일동안,1.0
6줄,1.0
6차,1.0
6차기능,1.0
7,41.0
70,2.0
700,1.0
700일,1.0
70세,1.0
70일,1.0
77,3.0
77키로,3.0
78,1.0
7개월,1.0
7년,1.0
7년만,1.0
7만원,1.0
7명,1.0
7번,2.0
7번일꺼,1.0
7살,2.0
7시간,2.0
7월,1.0
7월말,1.0
7월중순,1.0
7위,1.0
7일,1.0
7차,3.0
8,43.0
8.16,1.0
80,4.0
800,1.0
800원,1.0
80대,1.0
80프로,1.0
83,1.0
84,1.0
86,1.0
86정도,1.0
8개,1.0
8개월,3.0
8개월차,1.0
8기능,3.0
8년반,1.0
8등급,1.0
8명,1.0
8번,1.0
8시,1.0
8시쯤,1.0
8월,5.0
8자,1.0
8차,3.0
8체질,1.0
9,27.0
90,4.0
900,1.0
900년,1.0
90년,1.0
90이,1.0
96,1.0
96년생,1.0
97,3.0
99,2.0
99.9,1.0
99.9퍼센트,1.0
999999999999,1.0
9999999999999999999,1.0
9999999999999999999원,1.0
999999999999원,1.0
99가지변수,1.0
9년,1.0
9년간,1.0
9등급,1.0
9번,2.0
9살,1.0
9시,2.0
9시간,1.0
9월,3.0
9일,1.0
9천정도,1.0
9할,1.0
cd,1.0
ㄱ,43.0
ㄱㄱ,1.0
ㄱㅅ,2.0
ㄱㅅ과,1.0
ㄱㅇ,1.0
ㄱㅊ,7.0
ㄱㅊ으,1.0
ㄱㅊ음,1.0
ㄱㅋㄱㄱ,1.0
ㄱㅋㄱㄲ,1.0
ㄱㅓ,1.0
ㄱ과,1.0
ㄱ신경,1.0
ㄱ으,1.0
ㄲ,7.0
ㄴ,8.0
ㄴ것,1.0
ㄴ내고,1.0
ㄷ,12.0
ㄷㄷ,8.0
ㄷ이유,1.0
ㄹ,40.0
ㄹㄱ,1.0
ㄹㅂ,1.0
ㄹㅇ,34.0
ㄹㅇㄹㅇ,1.0
ㄹㅇ실화,1.0
ㄹㅇ친구,1.0
ㄹㅇ팩트12,1.0
ㄹㅍ,1.0
