word,count
-1,1.0
-9,1.0
-9번,1.0
0,13.0
0.1,1.0
0.5,1.0
0.5초,1.0
0.7,1.0
0.7인분,1.0
00,5.0
0003739240,1.0
00씨,2.0
00아,1.0
01,1.0
01029366474,1.0
01년생임이번,1.0
02,1.0
023,1.0
02년생,1.0
0개,1.0
0만큼,1.0
0번,1.0
0번째,1.0
0임,2.0
0점,1.0
1,232.0
1.2,2.0
1.2시간,1.0
1.5,2.0
1.5년,1.0
1.5병,1.0
10,59.0
100,26.0
1000,3.0
1000건,1.0
1000만회,1.0
1000칼로리정도,1.0
100개중,1.0
100도,1.0
100만배,1.0
100만큼,1.0
100일,4.0
100일때,1.0
100점,1.0
100프로,2.0
108,1.0
108키로,1.0
10개,1.0
10년,4.0
10년동안,2.0
10대,3.0
10대때,1.0
10명,2.0
10명중,2.0
10문항,1.0
10번,1.0
10분,11.0
10분뒤,1.0
10분안,1.0
10살,3.0
10살차이,1.0
10시,2.0
10시간,1.0
10시쯤,1.0
10월,1.0
10은,1.0
10인,1.0
10일,4.0
10일뒤,1.0
10일의,1.0
10일정도,1.0
10점,1.0
10키로,2.0
10회,1.0
11,13.0
110,1.0
1104743827070,1.0
1104743827070신한,1.0
110명,1.0
111,2.0
1111,2.0
1152,1.0
1152억,1.0
118.235,2.0
11만원,1.0
11시,3.0
11시반,1.0
11월,1.0
11일자,1.0
11일차,1.0
11층,1.0
12,17.0
120,1.0
120일정도,1.0
123,1.0
12만원,1.0
12분남짓,1.0
12시,5.0
12시간,4.0
12일,1.0
12키로,1.0
13,3.0
130,1.0
130나오더,1.0
13년,2.0
14,3.0
14살,1.0
14억,1.0
15,9.0
150,1.0
1505,1.0
150만원,1.0
1557,1.0
1580,1.0
1580억,1.0
15년,1.0
15분,3.0
15분동안,1.0
15억,1.0
16,5.0
160,2.0
160초반,1.0
1648611076,1.0
16개중,1.0
16살,1.0
16세이상,1.0
16시간,1.0
16조,1.0
170,1.0
173,1.0
173별,1.0
176,1.0
18,1.0
180,4.0
182,3.0
183,2.0
185,1.0
19,7.0
198.16,1.0
19년,1.0
19만원,1.0
1개월,1.0
1군데,1.0
1글,1.0
1남자,1.0
1녀,1.0
1년,20.0
1년동안,2.0
1년만,2.0
1년이상,1.0
1년정도,5.0
1달,4.0
1달간,1.0
1달연애가지,1.0
1대1,5.0
1대1대화,1.0
1대화,1.0
1로,2.0
1만남임,1.0
1명,5.0
1미터,1.0
1박,3.0
1박2일,3.0
1번,13.0
1번과도,1.0
1보,1.0
1분,1.0
1분안,1.0
1분이상,1.0
1살선배,1.0
1살차이구,1.0
1순위,2.0
1시,2.0
1시간,21.0
1시간동안,1.0
1시쯤,1.0
1약속,1.0
1월,2.0
1위,5.0
1의,2.0
1이,1.0
1인정,1.0
1일,3.0
1주,3.0
1주년,2.0
1주일,2.0
1줄요약,1.0
1차,1.0
1차때,1.0
1차원,1.0
1채팅,1.0
1층,1.0
1프로,1.0
1하다,1.0
1학년,1.0
2,194.0
20,42.0
200,3.0
2009,1.0
2009년,1.0
200개,1.0
200문항,1.0
20년,1.0
20대,13.0
20대기준,1.0
20대초반,3.0
20대후반,2.0
20만원,1.0
20명이상,1.0
20분,5.0
20분안,1.0
20분전,1.0
20분정도,1.0
20살,1.0
20일동안,1.0
20정도,1.0
20초,1.0
20초반,1.0
20키로,1.0
20후,1.0
20후반,1.0
21,2.0
2118328,1.0
2118530,1.0
21살,1.0
21조,1.0
22,6.0
220,1.0
220082642174,1.0
220명,1.0
22년도,1.0
22살,1.0
22조,1.0
23,4.0
23살,2.0
24,9.0
24.8,1.0
24.8살,1.0
24번,1.0
24살,3.0
24시간,4.0
24시간동안,1.0
25,5.0
2500000000,1.0
2500000000만번,1.0
25번,1.0
25살,1.0
