word,count
-1,1.0
-60,1.0
-8,1.0
0,17.0
0.1,1.0
00,8.0
0003739240,1.0
00씨,6.0
01,1.0
01년생임이번,1.0
02,1.0
023,1.0
02년생,1.0
03,1.0
0개,1.0
0개애인,1.0
0만큼,1.0
0번째,1.0
1,310.0
1.5,4.0
1.5년,3.0
1.5병,1.0
10,88.0
"10,000",1.0
"10,000것",1.0
100,21.0
1000,3.0
1000만회,1.0
1000칼로리정도,1.0
100개,2.0
100도,1.0
100만큼,1.0
100일,3.0
100일정도,1.0
100일후,1.0
100중,1.0
100퍼센트,1.0
100프로,2.0
10개,2.0
10년,11.0
10년동안,2.0
10년전,2.0
10년지기,2.0
10대때,1.0
10만원,1.0
10만원정도,1.0
10명,6.0
10명중,2.0
10문항,1.0
10번,4.0
10분,12.0
10분거리,2.0
10분뒤,1.0
10분안,1.0
10살,3.0
10선비라,1.0
10시,3.0
10시쯤,2.0
10여,1.0
10인,1.0
10일,4.0
10일뒤,1.0
10점,1.0
10줄,1.0
10초,1.0
10초전,1.0
10키로,2.0
10회,1.0
11,16.0
110,2.0
110명,1.0
110일,1.0
111,3.0
1111,2.0
111여,1.0
1152,1.0
1152억,1.0
118.235,2.0
11시,4.0
11시간동안,1.0
11시반,1.0
11월,2.0
11일자,1.0
11층,1.0
12,21.0
120,1.0
120일정도,1.0
12년지기,1.0
12분남짓,1.0
12살,1.0
12시,6.0
12시간,2.0
12키로,1.0
12프맥,1.0
13,5.0
130,1.0
130나오더,1.0
13프맥,1.0
14,4.0
14000,1.0
14000원정도,1.0
145,1.0
145고,1.0
14살,1.0
14억,1.0
15,11.0
150,2.0
1500,1.0
1500만원,1.0
1505,1.0
150만원,1.0
1557,1.0
1580,1.0
1580억,1.0
15개,1.0
15개월차,1.0
15년,1.0
15분,3.0
15분동안,1.0
15억,1.0
16,11.0
160,3.0
160초반,1.0
16245378,1.0
1648611076,2.0
16가지,2.0
16개,1.0
16개중,1.0
16시간,1.0
16위,1.0
16조,1.0
16퍼스널,1.0
17,4.0
170,1.0
173,1.0
173별,1.0
176,1.0
17성격유형,1.0
17세,1.0
18,4.0
180,5.0
180이상,1.0
182,5.0
183,3.0
18도로,1.0
18시,1.0
19,6.0
19금,1.0
