word,count
-1,1.0
-8,1.0
0,14.0
00,8.0
00년생,1.0
00씨,5.0
01029366474,1.0
03,1.0
0개,1.0
0개애인,1.0
0만큼,1.0
0점,1.0
1,189.0
1.5,2.0
1.5년,2.0
10,61.0
100,20.0
1000,3.0
1000칼로리정도,1.0
100개,1.0
100도,1.0
100만원대,2.0
100만큼,1.0
100배,2.0
100번,1.0
100일,2.0
100일정도,1.0
100일후,1.0
100점,1.0
100중,1.0
100퍼센트,1.0
100프로,1.0
10개,1.0
10년,9.0
10년사이,1.0
10년전,2.0
10년지기,2.0
10등안,1.0
10만원,2.0
10만원정도,1.0
10명,5.0
10배,1.0
10번,4.0
10분,6.0
10분단위,1.0
10살,3.0
10살정도,1.0
10선비라,1.0
10시,2.0
10시쯤,1.0
10일,2.0
10줄,1.0
10초,1.0
10초전,1.0
10키로,2.0
11,9.0
1104743827070,1.0
1104743827070신한,1.0
111,3.0
1111,2.0
111여,1.0
115,1.0
1152,1.0
1152억,1.0
118.235,2.0
11시,1.0
11시간동안,1.0
11시쯤,1.0
11월,1.0
11일자,1.0
12,14.0
12분남짓,1.0
12살,1.0
12시,3.0
12시간,1.0
12키로,1.0
12프맥,1.0
13,4.0
13프맥,1.0
14,1.0
14000,1.0
14000원정도,1.0
15,6.0
150,1.0
1500,2.0
1500만원,1.0
1500이상,1.0
1505,1.0
150만원,1.0
1557,1.0
1580,1.0
1580억,1.0
15개,1.0
15개월차,1.0
15기,1.0
15만원정도,1.0
15억,1.0
16,9.0
160,1.0
16245378,1.0
167,1.0
16가지,3.0
16개,1.0
16살,1.0
16시간,1.0
16퍼스널,1.0
17,2.0
170,1.0
173,1.0
173별,1.0
176,2.0
177,1.0
17세,1.0
18,3.0
180,4.0
180이상,1.0
182,2.0
183,1.0
185,2.0
185의,1.0
18도로,1.0
18시,1.0
19,2.0
190,1.0
1976,1.0
19년,1.0
1가지변수,1.0
1개,1.0
1글,1.0
1녀,1.0
1년,19.0
1년간,2.0
1년정도,1.0
1달,1.0
1달안,1.0
1달정,1.0
1대1,3.0
1등,1.0
1로,4.0
1만보,1.0
1면담,1.0
1명,3.0
1명2,1.0
1명바운,1.0
1명의,1.0
1박,1.0
1번,8.0
1번꼴,1.0
1보,1.0
1부,1.0
1분,1.0
1분내,1.0
1분뒤,1.0
1분만,1.0
1분안,1.0
1분후,1.0
1빠따,1.0
1순위,2.0
1시,3.0
1시간,8.0
1시간쯤,1.0
1실,1.0
1억,1.0
1위,2.0
1위인라,1.0
1은,1.0
1의,1.0
1인,1.0
1일,2.0
1자,1.0
1잔소리2,1.0
1절,1.0
1주일,2.0
1차,5.0
1차원,1.0
1차임,1.0
1차적인,1.0
1초안,1.0
1패턴,1.0
1학기,2.0
1학년,1.0
1회,2.0
2,140.0
20,38.0
200,4.0
2000,1.0
200문항,1.0
200번,1.0
200원,1.0
2023070801240241406,1.0
203040,3.0
203040남자,2.0
20개,1.0
20년,2.0
20년지기,1.0
20대,11.0
20대중반,1.0
20대초반,1.0
20대후반,3.0
20만원,1.0
20분,3.0
20분뒤,1.0
20살,2.0
20살에,1.0
20여년간,1.0
20초때,1.0
20키로,1.0
20회차,1.0
22,1.0
221473937235,1.0
23,6.0
230128,1.0
23살,4.0
24,8.0
24살,1.0
24시간,3.0
24시간동안,1.0
25,6.0
253728368,1.0
253728368호,1.0
25도,1.0
25살,3.0
26,8.0
26살,6.0
27,8.0
27살,6.0
28,3.0
28살,1.0
28세,1.0
29,1.0
2년,10.0
2년만,1.0
2년전쯤,1.0
2년차,1.0
2달,4.0
2달전,1.0
2명,3.0
2명정도,1.0
2배속,1.0
2백,1.0
2번,6.0
2번줄,1.0
2번째,1.0
2분,1.0
2살,1.0
2시간,8.0
2월,1.0
2인,1.0
2인석,1.0
2일,1.0
2장,1.0
2주,8.0
2주동안,1.0
2주만,1.0
2주전,1.0
2차,5.0
2차인,1.0
2학기,1.0
2회,1.0
3,143.0
30,34.0
300,4.0
3000,1.0
3000원,1.0
300원,1.0
300일,2.0
30대,7.0
30대초반,1.0
30만원,1.0
30명,3.0
30명중,1.0
30분,10.0
30분임저녁시간대,1.0
30살,5.0
30살이,1.0
30초,1.0
30평대,1.0
31,1.0
31살,1.0
32,2.0
320,1.0
320양배추샐러드,1.0
32살,1.0
32야남자친구,1.0
34,1.0
34살,1.0
350,1.0
350단백질셰이크160,1.0
3가지,1.0
3개,4.0
3개월,5.0
3개월동안,2.0
3개월전,1.0
3개월정도,1.0
3교대,1.0
3년,4.0
3년간,2.0
3년동안,2.0
3년만,2.0
3년정도,1.0
3년차,1.0
3단,2.0
3달,2.0
3대,1.0
3등정도,1.0
3명,1.0
3명이상,1.0
3번,8.0
3번안,1.0
3분,1.0
3세트,1.0
3시,2.0
3시간,5.0
3엔티제,1.0
3월,1.0
3일,4.0
3일동안,1.0
3일만,1.0
3일차임,1.0
3자,3.0
3조각,1.0
3주,4.0
3주동안,1.0
3주만,2.0
3줄,2.0
3차,2.0
3차기능,1.0
3차기능인,1.0
3천,3.0
3천부,1.0
3캔,1.0
3할,1.0
3회,2.0
4,68.0
40,8.0
400,1.0
400칼로리,1.0
4050,1.0
40개,1.0
40넘,1.0
40년,1.0
40대,2.0
40대쯤,1.0
40대초반,1.0
40분,1.0
40살,1.0
41,1.0
42,1.0
45,1.0
49,1.0
49로,1.0
4가지,1.0
4개,4.0
4개기프티,1.0
4개월,2.0
4개월동안,1.0
4년,3.0
4년만난,1.0
4달만,1.0
4달전,1.0
4명,2.0
4박,1.0
4번,5.0
4시간,3.0
4월,1.0
4유형중,1.0
4일,1.0
4일연속,1.0
4일제,1.0
4절,1.0
4차,2.0
4학년,1.0
5,79.0
50,13.0
50.1,1.0
500,1.0
500만원,1.0
5020848,1.0
50대,3.0
50대초라,1.0
50만원,1.0
50분,1.0
50분쯤,1.0
50분텀,1.0
50살,1.0
50일때,1.0
50일정도,1.0
50프로,1.0
51,1.0
53,1.0
55,1.0
55일,1.0
573,1.0
5800,1.0
5800여억원,1.0
5개,1.0
5개월,1.0
5급,1.0
5년,5.0
5년전,3.0
5년지기,1.0
5년차,1.0
5만원,1.0
5번,7.0
5번정도,1.0
5번째,1.0
5분,3.0
5분거리,1.0
5살,1.0
5살차이,2.0
5세트,1.0
5시,3.0
5시간,2.0
5월,2.0
5의,1.0
5일,4.0
5일동안,1.0
5일만,1.0
5차,1.0
5천만원,1.0
5천보,1.0
5천원따리,1.0
5키로,2.0
6,43.0
60,8.0
6000,1.0
6000만원,1.0
60대,3.0
60세,1.0
60세임,1.0
60임,1.0
65,2.0
65정도,1.0
6개,1.0
6개월,5.0
6년,3.0
6년차,1.0
6등변화,1.0
6등정도,1.0
6명,1.0
6박7일,1.0
6번,2.0
6살,2.0
6시,3.0
6월,1.0
6줄,1.0
6차,3.0
6차기능,1.0
6회정도,1.0
7,37.0
70,5.0
700,1.0
700일,1.0
70세,1.0
73,2.0
75,1.0
77,2.0
7716,1.0
77777777,1.0
77777777ㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓ억,1.0
77키로,2.0
78,1.0
7개,1.0
7년,3.0
7년전쯤,1.0
7만원,1.0
7명,1.0
7번,2.0
7살,1.0
7시,1.0
7시반-8,1.0
7월,3.0
7월달,1.0
7월중순,1.0
7위,1.0
7인,1.0
7일,1.0
7차,3.0
7할,1.0
8,30.0
80,6.0
800,1.0
800만원,1.0
80만원,1.0
80살ㅇㅣ,1.0
80프로,2.0
83,1.0
84,1.0
86,1.0
860,1.0
8636,1.0
86정도,1.0
88,1.0
8기능,1.0
8년,2.0
8년전,1.0
8명,1.0
8번,1.0
8시,2.0
8시간,2.0
8시쯤,1.0
8차,3.0
8키로,1.0
9,14.0
90,4.0
900,3.0
90프로,1.0
91,1.0
99,1.0
99.9,1.0
99.9퍼센트,1.0
999999999999,1.0
9999999999999999999,1.0
9999999999999999999원,1.0
999999999999원,1.0
99가지변수,1.0
9년간,1.0
9번,1.0
9번째,1.0
9천정도,1.0
cd,1.0
ps,1.0
ㄱ,25.0
ㄱㄱ,1.0
ㄱㅂ,1.0
ㄱㅅ,2.0
ㄱㅊ,3.0
ㄱㅊ은,1.0
ㄱㅊ은데,1.0
ㄱㅋㄱㄱ,2.0
ㄱㅋㄱㄲ,2.0
ㄱㅏ,1.0
ㄲ,4.0
ㄴ,14.0
ㄷ,18.0
ㄷㄷ,10.0
ㄷㄷㄷ,1.0
ㄷ완장완장,1.0
ㄹ,52.0
ㄹㅇ,42.0
ㄹㅇㄹㅇ,2.0
ㄹㅇㅇ,1.0
ㄹㅇ실화,2.0
ㄹㅇ정,1.0
ㄹㅇ혼란오,1.0
ㅁ,6.0
ㅁㅁ,2.0
ㅁㅈ,1.0
ㅁㅌㅊ,1.0
ㅂ,69.0
ㅂㅅ,6.0
ㅂㅅ소리,1.0
ㅂㅅ으,1.0
ㅂㅅ으로,2.0
ㅂㅅ이,1.0
ㅂㅋㄱ엔티제,1.0
ㅃ,1.0
ㅃㅇㅋ,1.0
ㅅ,81.0
ㅅ1ㅂ단,1.0
ㅅㄲ,1.0
ㅅㅂ,44.0
ㅅㅂ3주,1.0
ㅅㅂ거짓말,1.0
ㅅㅂ내가,1.0
ㅅㅅ,4.0
ㅅㅌㅊ,3.0
ㅅ이,1.0
ㅆ,4.0
ㅆㅂ,3.0
ㅆㅅㅌㅊ,1.0
ㅇ,146.0
ㅇㄱㄹㅇ,2.0
ㅇㅇ,54.0
ㅇㅇㅇ,2.0
ㅇㅇ단거,1.0
ㅇㅇ라,1.0
ㅇㅇ반경,1.0
ㅇㅇ여친,1.0
